Sales;Date;Día;Mes;Año;Semana
12551.5;01/01/2008;3;1;2008;1
13377.04;02/01/2008;4;1;2008;1
15300.63;03/01/2008;5;1;2008;1
15582.75;04/01/2008;6;1;2008;1
15691.75;05/01/2008;7;1;2008;1
15705.83;06/01/2008;1;1;2008;1
14140.13;07/01/2008;2;1;2008;2
11503.29;08/01/2008;3;1;2008;2
11467.83;09/01/2008;4;1;2008;2
12290.79;10/01/2008;5;1;2008;2
14943.17;11/01/2008;6;1;2008;2
15675.38;12/01/2008;7;1;2008;2
15881.92;13/01/2008;1;1;2008;2
15857.83;14/01/2008;2;1;2008;3
15387.13;15/01/2008;3;1;2008;3
14168.75;16/01/2008;4;1;2008;3
15693.83;17/01/2008;5;1;2008;3
15796.54;18/01/2008;6;1;2008;3
15836.21;19/01/2008;7;1;2008;3
15770;20/01/2008;1;1;2008;3
15745.29;21/01/2008;2;1;2008;4
14968.67;22/01/2008;3;1;2008;4
13762.21;23/01/2008;4;1;2008;4
15178.54;24/01/2008;5;1;2008;4
15745.67;25/01/2008;6;1;2008;4
15609.42;26/01/2008;7;1;2008;4
15219.83;27/01/2008;1;1;2008;4
15083.33;28/01/2008;2;1;2008;5
14681.71;29/01/2008;3;1;2008;5
13933.75;30/01/2008;4;1;2008;5
15140.04;31/01/2008;5;1;2008;5
15500.96;01/02/2008;6;2;2008;5
15316.29;02/02/2008;7;2;2008;5
15445.13;03/02/2008;1;2;2008;5
15617.46;04/02/2008;2;2;2008;6
15180.67;05/02/2008;3;2;2008;6
15028.58;06/02/2008;4;2;2008;6
15073.88;07/02/2008;5;2;2008;6
15369.75;08/02/2008;6;2;2008;6
15431.96;09/02/2008;7;2;2008;6
15530.67;10/02/2008;1;2;2008;6
15504.46;11/02/2008;2;2;2008;7
15130.46;12/02/2008;3;2;2008;7
13992.79;13/02/2008;4;2;2008;7
15242.46;14/02/2008;5;2;2008;7
15926.25;15/02/2008;6;2;2008;7
15845.79;16/02/2008;7;2;2008;7
15776.46;17/02/2008;1;2;2008;7
15526.13;18/02/2008;2;2;2008;8
15090.17;19/02/2008;3;2;2008;8
13894.04;20/02/2008;4;2;2008;8
15392.25;21/02/2008;5;2;2008;8
15866.17;22/02/2008;6;2;2008;8
16014.17;23/02/2008;7;2;2008;8
16112.67;24/02/2008;1;2;2008;8
15945.46;25/02/2008;2;2;2008;9
15706.33;26/02/2008;3;2;2008;9
14494.42;27/02/2008;4;2;2008;9
15828.83;28/02/2008;5;2;2008;9
16155.75;29/02/2008;6;2;2008;9
16080.96;01/03/2008;7;3;2008;9
15838.25;02/03/2008;1;3;2008;9
15827.04;03/03/2008;2;3;2008;10
15384.79;04/03/2008;3;3;2008;10
14153.67;05/03/2008;4;3;2008;10
15647.96;06/03/2008;5;3;2008;10
15765.13;07/03/2008;6;3;2008;10
15682.21;08/03/2008;7;3;2008;10
15683.79;09/03/2008;1;3;2008;10
15578.17;10/03/2008;2;3;2008;11
15205.96;11/03/2008;3;3;2008;11
13996.25;12/03/2008;4;3;2008;11
14686.96;13/03/2008;5;3;2008;11
14729.75;14/03/2008;6;3;2008;11
13280.75;15/03/2008;7;3;2008;11
13278;16/03/2008;1;3;2008;11
11120.13;17/03/2008;2;3;2008;12
11387.83;18/03/2008;3;3;2008;12
12374.71;19/03/2008;4;3;2008;12
14966.92;20/03/2008;5;3;2008;12
15616.38;21/03/2008;6;3;2008;12
15729.04;22/03/2008;7;3;2008;12
15689.38;23/03/2008;1;3;2008;12
15464.33;24/03/2008;2;3;2008;13
14807.54;25/03/2008;3;3;2008;13
13295.08;26/03/2008;4;3;2008;13
14425.04;27/03/2008;5;3;2008;13
14244.63;28/03/2008;6;3;2008;13
14069.63;29/03/2008;7;3;2008;13
13916.42;30/03/2008;1;3;2008;13
13768.17;31/03/2008;2;3;2008;14
13167.58;01/04/2008;3;4;2008;14
11833.54;02/04/2008;4;4;2008;14
13013.54;03/04/2008;5;4;2008;14
13194.13;04/04/2008;6;4;2008;14
12731.29;05/04/2008;7;4;2008;14
13099.92;06/04/2008;1;4;2008;14
13613.96;07/04/2008;2;4;2008;15
13831.88;08/04/2008;3;4;2008;15
12736.17;09/04/2008;4;4;2008;15
14042.33;10/04/2008;5;4;2008;15
14609.5;11/04/2008;6;4;2008;15
14319.38;12/04/2008;7;4;2008;15
14296.58;13/04/2008;1;4;2008;15
13960.83;14/04/2008;2;4;2008;16
13408.33;15/04/2008;3;4;2008;16
